,MRT,latitude,longitude
0,Jurong East MRT Station,1.33329506563598,103.742153884191
1,Bukit Batok MRT Station,1.34903331201636,103.749566478309
2,Bukit Gombak MRT Station,1.35861159094192,103.751790910733
3,Choa Chu Kang MRT Station,1.38536316540225,103.744370779756
4,Yew Tee MRT Station,1.39729771118639,103.74735767326
5,Kranji MRT Station,1.4250690629411,103.762099449562
6,Marsiling MRT Station,1.43262603485889,103.774051197031
7,Woodlands MRT Station,1.43681962961519,103.786066799253
8,Admiralty MRT Station,1.44058856161847,103.800990519771
9,Sembawang MRT Station,1.44902668521092,103.820139486468
10,Canberra MRT Station,1.44307664075699,103.829702590959
11,Yishun MRT Station,1.42952522867762,103.834995141847
12,Khatib MRT Station,1.41758906054002,103.833061043125
13,Yio Chu Kang MRT Station,1.38149882492597,103.845170704861
14,Ang Mo Kio MRT Station,1.36993284962264,103.849558091776
15,Bishan MRT Station,1.35101889777844,103.850057208608
16,Braddell MRT Station,1.34010520696434,103.846755921048
17,Toa Payoh MRT Station,1.3326840912586,103.847608851178
18,Novena MRT Station,1.32021100706836,103.843656761867
19,Newton MRT Station,1.31260208570591,103.838149921649
20,Orchard MRT Station,1.30242224836722,103.823868523249
21,Somerset MRT Station,1.30018113242454,103.839311084296
22,Dhoby Ghaut MRT Station,1.29868872290409,103.846179896647
23,City Hall MRT Station,1.29298990700923,103.852542630339
24,Raffles Place MRT Station,1.28393326207164,103.851463066756
25,Marina Bay MRT Station,1.27642735476716,103.854597776754
26,Marina South Pier MRT Station,1.27102703612006,103.862447515736
27,Pasir Ris MRT Station,1.37300805046319,103.949265083922
28,Tampines MRT Station,1.35619148271544,103.9546344625
29,Simei MRT Station,1.34317949620659,103.953309510101
30,Tanah Merah MRT Station,1.32731098211445,103.946451703007
31,Bedok MRT Station,1.32397996868158,103.929984495066
32,Kembangan MRT Station,1.32104702761608,103.91292554527
33,Eunos MRT Station,1.31976065808207,103.903047958324
34,Paya Lebar MRT Station,1.31810656871073,103.893158734867
35,Aljunied MRT Station,1.3164326118157,103.882906044385
36,Kallang MRT Station,1.31148890998818,103.871386541754
37,Lavender MRT Station,1.30750657093807,103.86293845244
38,Bugis MRT Station,1.30026468984101,103.855614760658
39,Tanjong Pagar MRT Station,1.27660857408421,103.846006679223
40,Outram Park MRT Station,1.27973970679335,103.839513521005
41,Tiong Bahru MRT Station,1.28610253588403,103.827445112691
42,Redhill MRT Station,1.28934817825579,103.817043991803
43,Queenstown MRT Station,1.29419362236417,103.806100814457
44,Commonwealth MRT Station,1.30250199924325,103.798228523336
45,Buona Vista MRT Station,1.30627534823257,103.790363200126
46,Dover MRT Station,1.31139153717332,103.778656381761
47,Clementi MRT Station,1.31511625277378,103.765191452888
48,Chinese Garden MRT Station,1.34235282081401,103.732596738363
49,Lakeside MRT Station,1.34410477510373,103.720301861904
50,Boon Lay MRT Station,1.33860405469845,103.706064622772
51,Pioneer MRT Station,1.33756383090029,103.697631494536
52,Joo Koon MRT Station,1.32769436492908,103.678085068438
53,Gul Circle MRT Station,1.31947090075208,103.660530461345
54,Tuas Crescent MRT Station,1.32102695598684,103.649078235627
55,Tuas West Road MRT Station,1.32998504653102,103.639616648771
56,Tuas Link MRT Station,1.34088242451105,103.636991425128
57,Expo MRT Station,1.33454977824817,103.961548211018
58,Changi Airport MRT Station,1.35747897447692,103.98788356959
59,HarbourFront MRT Station,1.26531139858465,103.820557316696
60,Chinatown MRT Station,1.28422391919085,103.845143798953
61,Clarke Quay MRT Station,1.28745211415803,103.846119192727
62,Little India MRT Station,1.30724381608438,103.849841614124
63,Farrer Park MRT Station,1.31314029963164,103.854754721344
64,Boon Keng MRT Station,1.31993957653291,103.862052698446
65,Potong Pasir MRT Station,1.3318797140041,103.869057877586
66,Woodleigh MRT Station,1.33982824592182,103.87096088798
67,Serangoon MRT Station,1.35063361526525,103.872771660431
68,Kovan MRT Station,1.35990191952976,103.884494725197
69,Hougang MRT Station,1.37033472429161,103.892261757937
70,Buangkok MRT Station,1.38369417199994,103.893049981318
71,Sengkang MRT Station,1.39174613283898,103.895508171163
72,Punggol MRT Station,1.40512956754102,103.902369773585
73,Bras Basah MRT Station,1.29686168649656,103.850667371637
74,Esplanade MRT Station,1.29133990707454,103.854609475029
75,Promenade MRT Station,1.29307389602149,103.861067235865
76,Nicoll Highway MRT Station,1.29956843029404,103.863977721184
77,Stadium MRT Station,1.3028124684707,103.875337711089
78,Mountbatten MRT Station,1.30615406128913,103.883045148696
79,Dakota MRT Station,1.30843144331463,103.889268208422
80,MacPherson MRT Station,1.32583875798262,103.890312834364
81,Tai Seng MRT Station,1.33533999302463,103.888265446029
82,Bartley MRT Station,1.3424454382925,103.880197087117
83,Lorong Chuan MRT Station,1.35153128621585,103.864812169514
84,Marymount MRT Station,1.348707263451,103.839423132332
85,Caldecott MRT Station,1.33734722320212,103.839544077561
86,Botanic Gardens MRT Station,1.32238699517166,103.815385463093
87,Farrer Road MRT Station,1.31743915158967,103.807379214161
88,Holland Village MRT Station,1.31226422601049,103.796470444998
89,one-north MRT Station,1.29968953488969,103.787412789536
90,Kent Ridge MRT Station,1.29353349887123,103.784572738173
91,Haw Par Villa MRT Station,1.28195688684898,103.781988990137
92,Pasir Panjang MRT Station,1.27621352233766,103.791350313288
93,Labrador Park MRT Station,1.27236838626952,103.803416232089
94,Telok Blangah MRT Station,1.27070647772509,103.809761611219
95,Bayfront MRT Station,1.28187378879209,103.859079764874
96,Bukit Panjang MRT Station,1.37956121236613,103.761188866252
97,Cashew MRT Station,1.36984601365741,103.764315051619
98,Hillview MRT Station,1.36288845715168,103.767780907707
99,Beauty World MRT Station,1.34090149001429,103.775746717778
100,King Albert Park MRT Station,1.335893496278,103.783235863233
101,Sixth Avenue MRT Station,1.33085764536226,103.796906838288
102,Tan Kah Kee MRT Station,1.32639224146351,103.806548201692
103,Stevens MRT Station,1.32006555750626,103.826024401924
104,Rochor MRT Station,1.30385218555028,103.852769429428
105,Downtown MRT Station,1.27944638178916,103.852840829581
106,Telok Ayer MRT Station,1.28206894769394,103.848648781083
107,Fort Canning MRT Station,1.29248194822996,103.844331362465
108,Bencoolen MRT Station,1.29891843369422,103.850353762717
109,Jalan Besar MRT Station,1.3051713878069,103.855295713435
110,Bendemeer MRT Station,1.31367252847691,103.862977620945
111,Geylang Bahru MRT Station,1.32130110228321,103.871622627142
112,Mattar MRT Station,1.32687671501334,103.883247509542
113,Ubi MRT Station,1.3298832504798,103.899082581327
114,Kaki Bukit MRT Station,1.33496735995428,103.908459338046
115,Bedok North MRT Station,1.33474211664091,103.91797832995
116,Bedok Reservoir MRT Station,1.33660782955099,103.932234623286
117,Tampines West MRT Station,1.3456336579777,103.938492495285
118,Tampines East MRT Station,1.35619148271544,103.9546344625
119,Upper Changi MRT Station,1.34173977444995,103.961472788634
120,Woodlands North MRT Station,1.44829245259621,103.785692682441
121,Woodlands South MRT Station,1.42739605281442,103.79326432221
